Datetime,Dn,Dm,Dx,Sn,Sm,Sx,source_file,Ta,Ua,Pa,Th,Vh,Vs,Vr,Rc,Rd,Ri,Hc,Hd,Hi
2025-01-21_210002,33.0,52.0,64.0,2.4,2.7,3.5,VPMI.2025.021.0R1.csv,,,,,,,,,,,,,
2025-01-21_212002,38.0,58.0,91.0,1.4,1.9,2.7,VPMI.2025.021.0R1.csv,,,,,,,,,,,,,
2025-01-21_214003,42.0,347.0,217.0,0.4,1.0,2.2,VPMI.2025.021.0R1.csv,,,,,,,,,,,,,
2025-01-21_220002,57.0,9.0,317.0,0.7,1.4,3.4,VPMI.2025.021.0R1.csv,,,,,,,,,,,,,
2025-01-21_222002,50.0,344.0,312.0,1.5,1.9,2.3,VPMI.2025.021.0R1.csv,,,,,,,,,,,,,
2025-01-21_224003,2.0,22.0,44.0,2.6,3.4,4.3,VPMI.2025.021.0R1.csv,,,,,,,,,,,,,
2025-01-21_230002,109.0,123.0,129.0,1.6,2.4,2.7,VPMI.2025.021.0R1.csv,,,,,,,,,,,,,
2025-01-21_232002,20.0,37.0,49.0,4.4,5.0,6.1,VPMI.2025.021.0R1.csv,,,,,,,,,,,,,
2025-01-21_234002,45.0,52.0,65.0,3.6,4.3,4.7,VPMI.2025.021.0R1.csv,,,,,,,,,,,,,
2025-01-21_164002,,,,,,,VPMI.2025.021.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-21_170002,,,,,,,VPMI.2025.021.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-21_172002,,,,,,,VPMI.2025.021.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-21_174002,,,,,,,VPMI.2025.021.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-21_180002,,,,,,,VPMI.2025.021.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-21_182034,,,,,,,VPMI.2025.021.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
