Datetime,Event ID,Label,Station,Sensor Type,Acoustic t1,Acoustic t2,Energy,Duration,Magnitude
2025-03-05 03:05:14+00:00,167159,Acoustic,VPVF,acoustic,2025-03-05 03:05:14+00:00,2025-03-05 03:05:38+00:00,27.84,24.0,0.9679283847288116
2025-03-05 03:06:10+00:00,167160,Acoustic,VPVF,acoustic,2025-03-05 03:06:10+00:00,2025-03-05 03:06:34+00:00,10.52,24.0,0.6847505456778726
2025-03-05 03:07:22+00:00,167161,Acoustic,VPVF,acoustic,2025-03-05 03:07:22+00:00,2025-03-05 03:08:08+00:00,53.569,46.0,1.1583720712979515
2025-03-05 03:09:24+00:00,167162,Acoustic,VPVF,acoustic,2025-03-05 03:09:24+00:00,2025-03-05 03:09:56+00:00,345.429,32.0,1.700700392875832
2025-03-05 03:10:46+00:00,167163,Acoustic,VPVF,acoustic,2025-03-05 03:10:46+00:00,2025-03-05 03:11:50+00:00,114.366,64.0,1.3790589442643697
2025-03-05 03:12:52+00:00,167164,Acoustic,VPVF,acoustic,2025-03-05 03:12:52+00:00,2025-03-05 03:13:20+00:00,15.268,28.0,0.793134041355631
2025-03-05 03:14:18+00:00,167165,Acoustic,VPVF,acoustic,2025-03-05 03:14:18+00:00,2025-03-05 03:14:50+00:00,202.476,32.0,1.5452702802163134
2025-03-05 03:16:18+00:00,167166,Acoustic,VPVF,acoustic,2025-03-05 03:16:18+00:00,2025-03-05 03:16:42+00:00,86.241,24.0,1.2969282350761044
2025-03-05 03:17:40+00:00,167167,Acoustic,VPVF,acoustic,2025-03-05 03:17:40+00:00,2025-03-05 03:18:06+00:00,40.9,26.0,1.0798546163649192
2025-03-05 03:19:10+00:00,167168,Acoustic,VPVF,acoustic,2025-03-05 03:19:10+00:00,2025-03-05 03:19:44+00:00,182.682,34.0,1.515336157599336
2025-03-05 03:22:22+00:00,167169,Acoustic,VPVF,acoustic,2025-03-05 03:22:22+00:00,2025-03-05 03:22:52+00:00,24.037,30.0,0.9251897765222266
2025-03-05 03:24:32+00:00,167170,Acoustic,VPVF,acoustic,2025-03-05 03:24:32+00:00,2025-03-05 03:25:10+00:00,142.236,38.0,1.4425163854006515
2025-03-05 03:25:34+00:00,167171,Acoustic,VPVF,acoustic,2025-03-05 03:25:34+00:00,2025-03-05 03:26:06+00:00,20.351,32.0,0.8767524553736855
2025-03-05 03:27:30+00:00,167172,Acoustic,VPVF,acoustic,2025-03-05 03:27:30+00:00,2025-03-05 03:28:42+00:00,52.494,72.0,1.1524734768326863
2025-03-05 03:29:56+00:00,167173,Acoustic,VPVF,acoustic,2025-03-05 03:29:56+00:00,2025-03-05 03:30:54+00:00,84.101,58.0,1.2896167770606173
2025-03-05 03:31:48+00:00,167174,Acoustic,VPVF,acoustic,2025-03-05 03:31:48+00:00,2025-03-05 03:32:16+00:00,41.138,28.0,1.0815429264741363
2025-03-05 03:33:08+00:00,167175,Acoustic,VPVF,acoustic,2025-03-05 03:33:08+00:00,2025-03-05 03:34:14+00:00,85.317,66.0,1.2937938358915333
2025-03-05 03:34:56+00:00,167176,Acoustic,VPVF,acoustic,2025-03-05 03:34:56+00:00,2025-03-05 03:35:28+00:00,15.03,32.0,0.7885625169932284
2025-03-05 03:36:16+00:00,167177,Acoustic,VPVF,acoustic,2025-03-05 03:36:16+00:00,2025-03-05 03:37:26+00:00,65.392,70.0,1.2164014956462372
2025-03-05 03:38:20+00:00,167178,Acoustic,VPVF,acoustic,2025-03-05 03:38:20+00:00,2025-03-05 03:39:18+00:00,51.645,58.0,1.1477289487794378
