event_id,label,station,sensor_type,t1,t2,energy,duration,magnitude
163773,Acoustic,VPVF,acoustic,2025-02-15 09:44:04.058,2025-02-15 09:44:09.120,4.308,5.062,0.4249647153993825
163774,Acoustic,VPVF,acoustic,2025-02-15 10:04:47.530,2025-02-15 10:04:52.728,2.07,5.198,0.21170013145613487
163775,Acoustic,VPVF,acoustic,2025-02-15 10:23:34.990,2025-02-15 10:23:39.918,1.62,4.928,0.14037505974356276
163776,Acoustic,VPVF,acoustic,2025-02-15 10:40:35.598,2025-02-15 10:40:39.310,7.862,3.712,0.6000071364543272
163777,Acoustic,VPVF,acoustic,2025-02-15 10:57:15.058,2025-02-15 10:57:20.255,0.803,5.197,-0.06384058466328375
163778,Acoustic,VPVF,acoustic,2025-02-15 11:09:15.328,2025-02-15 11:09:24.035,7.271,8.707,0.5772680769113898
163779,Acoustic,VPVF,acoustic,2025-02-15 11:37:32.868,2025-02-15 11:37:40.158,28.783,7.29,0.9776211586507039
163780,Acoustic,VPVF,acoustic,2025-02-15 11:38:32.935,2025-02-15 11:38:40.765,29.408,7.83,0.9838718781030316
163781,Acoustic,VPVF,acoustic,2025-02-15 11:55:15.180,2025-02-15 11:55:23.618,71.97,8.438,1.2442915068006204
163782,Acoustic,VPVF,acoustic,2025-02-15 20:52:15.450,2025-02-15 20:52:22.065,25.766,6.615,0.9454014916455825
163783,Acoustic,VPVF,acoustic,2025-02-16 02:40:15.210,2025-02-16 02:40:26.078,23.442,10.868,0.917896423277647
163784,Acoustic,VPVF,acoustic,2025-02-16 03:05:17.328,2025-02-16 03:05:23.065,4.8,5.737,0.4564316290416434
163785,Acoustic,VPVF,acoustic,2025-02-16 03:38:53.855,2025-02-16 03:39:00.605,20.272,6.75,0.8756207203513753
163786,Acoustic,VPVF,acoustic,2025-02-16 03:47:16.598,2025-02-16 03:47:23.415,17.145,6.817,0.8268721179321452
163787,Acoustic,VPVF,acoustic,2025-02-16 13:13:03.775,2025-02-16 13:13:09.918,74.445,6.143,1.2541298079495131
163788,Acoustic,VPVF,acoustic,2025-02-16 17:44:58.140,2025-02-16 17:45:14.160,3073.54,16.02,2.336718042589349
163790,Acoustic,VPVF,acoustic,2025-02-16 17:59:57.160,2025-02-16 18:00:04.090,117.16,6.93,1.3860821732164061
163791,Acoustic,VPVF,acoustic,2025-02-16 18:04:30.250,2025-02-16 18:04:32.500,9.585,2.25,0.6576667185334346
163792,Acoustic,VPVF,acoustic,2025-02-16 18:06:25.620,2025-02-16 18:06:31.380,45.375,5.76,1.1100671474895931
163793,Acoustic,VPVF,acoustic,2025-02-16 18:11:19.440,2025-02-16 18:11:24.210,22.547,4.77,0.9065694724387454
163794,Acoustic,VPVF,acoustic,2025-02-16 18:11:54.620,2025-02-16 18:11:59.480,1.462,4.86,0.1105147396566339
163795,Acoustic,VPVF,acoustic,2025-02-16 18:14:13.440,2025-02-16 18:14:18.300,17.417,4.86,0.8314521457328027
163796,Acoustic,VPVF,acoustic,2025-02-16 18:15:33.160,2025-02-16 18:15:38.380,18.534,5.22,0.8495393363190132
163797,Acoustic,VPVF,acoustic,2025-02-16 18:17:30.160,2025-02-16 18:17:35.290,14.594,5.13,0.7799968090841546
163798,Acoustic,VPVF,acoustic,2025-02-16 18:19:51.520,2025-02-16 18:19:59.980,99.0,8.46,1.3370755803803585
163799,Acoustic,VPVF,acoustic,2025-02-16 18:24:22.880,2025-02-16 18:24:28.730,10.285,5.85,0.6781768783405978
163800,Acoustic,VPVF,acoustic,2025-02-16 18:25:47.240,2025-02-16 18:25:52.820,17.421,5.58,0.8315189641045011
