,Erruption Activity,VPCC RSAM,VPPC RSAM,VPNC RSAM,VPRS RSAM,VPRS Field E,VPRS Field N,VPRS Field Z,CO2 Concentration
2025-02-04 16:57:00+00:00,0.0,80.52114254937425,736.6133236520583,272.93201059393954,61.92922704146289,-0.0043475,1.981755,0.0346825,360.74
2025-02-04 16:58:00+00:00,0.0,81.19464479645548,735.551363211497,273.2927667320529,62.394600955400875,-0.00438,1.9817425,0.034685,360.57666666666665
2025-02-04 16:59:00+00:00,0.0,81.86814704353672,734.4894027709356,273.6535228701662,62.85997486933887,-0.00441,1.98173,0.034685,360.4133333333333
2025-02-04 17:00:00+00:00,0.0,82.54164929061797,733.4274423303742,274.0142790082796,63.32534878327686,-0.004435,1.9817175,0.034685,360.25
2025-02-04 17:01:00+00:00,0.0,82.06360182979304,737.2723326801467,274.44732434301704,64.34152100450783,-0.0044625,1.98171,0.034685,360.08666666666664
2025-02-04 17:02:00+00:00,0.0,81.5855543689681,741.1172230299194,274.8803696777546,65.35769322573879,-0.004505,1.9817,0.0346875,359.92333333333335
2025-02-04 17:03:00+00:00,0.0,81.10750690814318,744.962113379692,275.31341501249204,66.37386544696976,-0.0045425,1.9816875,0.0346875,359.7314285714286
2025-02-04 17:04:00+00:00,0.0,80.62945944731825,748.8070037294646,275.7464603472295,67.39003766820072,-0.0045825,1.9816675,0.0346875,359.7028571428571
2025-02-04 17:05:00+00:00,0.0,80.15141198649331,752.6518940792371,276.179505681967,68.4062098894317,-0.0046125,1.981655,0.03469,359.6742857142857
2025-02-04 17:06:00+00:00,0.0,79.67336452566839,756.4967844290097,276.6125510167045,69.42238211066265,-0.00463,1.981645,0.03469,359.6457142857143
2025-02-04 17:07:00+00:00,0.0,79.19531706484347,760.3416747787824,277.045596351442,70.43855433189363,-0.0046625,1.9816325,0.03469,359.6171428571429
2025-02-04 17:08:00+00:00,0.0,78.71726960401854,764.1865651285549,277.47864168617946,71.45472655312459,-0.0046925,1.9816225,0.03469,359.5885714285714
2025-02-04 17:09:00+00:00,0.0,78.2392221431936,768.0314554783274,277.911687020917,72.47089877435556,-0.00473,1.98162,0.0346925,359.56
2025-02-04 17:10:00+00:00,0.0,77.76117468236868,771.8763458281,278.34473235565446,73.48707099558652,-0.0047475,1.981605,0.0346925,359.5314285714286
2025-02-04 17:11:00+00:00,0.0,76.71921504355947,773.3324535024794,278.27348681143485,72.41973881764358,-0.00479,1.9816025,0.0346925,359.5028571428571
2025-02-04 17:12:00+00:00,0.0,75.67725540475027,774.7885611768588,278.2022412672153,71.35240663970063,-0.004815,1.981595,0.0346925,359.4742857142857
2025-02-04 17:13:00+00:00,0.0,74.63529576594107,776.2446688512383,278.1309957229957,70.28507446175767,-0.0048275,1.98159,0.0346925,359.4457142857143
2025-02-04 17:14:00+00:00,0.0,73.59333612713186,777.7007765256177,278.05975017877614,69.21774228381473,-0.004825,1.981585,0.0346925,359.4171428571429
2025-02-04 17:15:00+00:00,0.0,72.55137648832266,779.1568841999971,277.98850463455653,68.15041010587179,-0.0048725,1.98158,0.0346925,359.3885714285714
2025-02-04 17:16:00+00:00,0.0,71.50941684951347,780.6129918743765,277.9172590903369,67.08307792792883,-0.00486,1.9815725,0.0346925,359.36
2025-02-04 17:17:00+00:00,0.0,70.46745721070427,782.0690995487558,277.8460135461174,66.01574574998588,-0.0048625,1.9815575,0.0346925,359.3314285714286
2025-02-04 17:18:00+00:00,0.0,69.42549757189506,783.5252072231353,277.77476800189777,64.94841357204294,-0.004885,1.9815525,0.034695,359.30285714285714
2025-02-04 17:19:00+00:00,0.0,68.38353793308586,784.9813148975147,277.7035224576782,63.88108139409999,-0.0049125,1.981545,0.034695,359.2742857142857
2025-02-04 17:20:00+00:00,0.0,67.34157829427666,786.4374225718941,277.6322769134586,62.81374921615704,-0.004945,1.9815325,0.034695,359.2457142857143
2025-02-04 17:21:00+00:00,0.0,67.33153105445642,789.8434813819069,277.89365047802687,62.71899369252093,-0.0049675,1.9815225,0.034695,359.2171428571429
2025-02-04 17:22:00+00:00,0.0,67.32148381463618,793.2495401919199,278.1550240425952,62.62423816888482,-0.005,1.98151,0.034695,359.18857142857144
2025-02-04 17:23:00+00:00,0.0,67.31143657481594,796.6555990019328,278.4163976071635,62.529482645248706,-0.005045,1.9814975,0.034695,358.9371428571429
2025-02-04 17:24:00+00:00,0.0,67.3013893349957,800.0616578119457,278.67777117173176,62.43472712161259,-0.00508,1.981475,0.034695,358.7142857142857
2025-02-04 17:25:00+00:00,0.0,67.29134209517547,803.4677166219585,278.9391447363,62.339971597976486,-0.0051275,1.98145,0.034695,358.49142857142857
2025-02-04 17:26:00+00:00,0.0,67.28129485535521,806.8737754319715,279.20051830086834,62.24521607434038,-0.0051575,1.98143,0.034695,358.2685714285715
2025-02-04 17:27:00+00:00,0.0,67.27124761553497,810.2798342419844,279.46189186543666,62.15046055070427,-0.0051875,1.98141,0.034695,358.0457142857143
2025-02-04 17:28:00+00:00,0.0,67.26120037571474,813.6858930519973,279.7232654300049,62.05570502706815,-0.00522,1.9813875,0.034695,357.8228571428572
2025-02-04 17:29:00+00:00,0.0,67.2511531358945,817.0919518620101,279.9846389945732,61.96094950343204,-0.00525,1.9813675,0.034695,357.6
2025-02-04 17:30:00+00:00,0.0,67.24110589607426,820.498010672023,280.2460125591415,61.86619397979593,-0.00528,1.9813475,0.034695,357.37714285714287
2025-02-04 17:31:00+00:00,0.0,68.02686883255846,821.2747426473616,279.42374236453776,61.75504636540851,-0.0052975,1.981335,0.034695,357.1542857142857
2025-02-04 17:32:00+00:00,0.0,68.81263176904267,822.0514746227,278.601472169934,61.6438987510211,-0.0053175,1.98132,0.034695,356.93142857142857
2025-02-04 17:33:00+00:00,0.0,69.59839470552689,822.8282065980385,277.7792019753303,61.53275113663368,-0.00534,1.981305,0.034695,356.7085714285715
2025-02-04 17:34:00+00:00,0.0,70.38415764201109,823.604938573377,276.95693178072656,61.421603522246265,-0.0053575,1.9812925,0.0346975,356.4857142857143
2025-02-04 17:35:00+00:00,0.0,71.1699205784953,824.3816705487155,276.13466158612283,61.310455907858845,-0.0053975,1.98128,0.0346975,356.2628571428572
2025-02-04 17:36:00+00:00,0.0,71.9556835149795,825.1584025240539,275.3123913915191,61.199308293471425,-0.005415,1.9812725,0.034695,356.04
2025-02-04 17:37:00+00:00,0.0,72.7414464514637,825.9351344993925,274.49012119691537,61.08816067908401,-0.00543,1.98126,0.0346975,355.81714285714287
2025-02-04 17:38:00+00:00,0.0,73.52720938794792,826.711866474731,273.66785100231164,60.97701306469659,-0.0054425,1.9812425,0.034695,355.5942857142857
2025-02-04 17:39:00+00:00,0.0,74.31297232443212,827.4885984500694,272.8455808077079,60.86586545030918,-0.00547,1.98123,0.0346975,355.37142857142857
2025-02-04 17:40:00+00:00,0.0,75.09873526091633,828.2653304254079,272.0233106131042,60.75471783592176,-0.0054975,1.98121,0.0346975,355.1485714285715
2025-02-04 17:41:00+00:00,0.0,77.58623457861832,824.1535051507124,271.6884889571273,60.93523767048737,-0.005505,1.9812125,0.0346975,354.9257142857143
